SIM3292_Global_Geology_Unit,min_lat,max_lat,SUM_split_area,FREQUENCY
Aa,-17,0,43435,6
Aa,0,17,194338,4
Aa,17,34,620409,5
Aa,34,51,7586,1
AHi,,,283336,9
AHi,-17,0,807084,57
AHi,-34,-17,1137010,75
AHi,-51,-34,1019442,53
AHi,-68,-51,932152,42
AHi,-85,-68,376451,16
AHi,0,17,810582,54
AHi,17,34,629245,35
AHi,34,51,736015,30
AHi,51,68,1137351,30
AHtu,-17,0,748107,8
AHtu,0,17,994873,10
AHtu,17,34,60823,4
AHv,-17,0,1466320,2
AHv,-34,-17,1351056,2
AHv,-51,-34,120615,1
AHv,0,17,2660267,5
AHv,17,34,3291595,9
AHv,34,51,1943767,3
AHv,51,68,956300,1
ANa,-51,-34,37472,5
ANa,34,51,332346,12
ANa,51,68,3086,1
Ap,-85,-68,405811,1
Apu,,,1039698,3
Apu,-85,-68,2656535,2
Av,17,34,331248,2
Av,34,51,1624174,7
Av,51,68,105662,3
Ave,-17,0,96476,2
Ave,0,17,283741,3
Ave,17,34,206172,2
Ave,34,51,120705,1
eAb,-51,-34,18401,1
eAb,34,51,524542,1
eAb,51,68,8936,1
eHb,-34,-17,95235,1
eHb,-51,-34,288204,2
eHb,-68,-51,2140,1
eHh,-17,0,219292,5
eHh,-34,-17,8202,1
eHh,-51,-34,53515,4
eHh,-68,-51,49453,3
eHh,0,17,471122,3
eHh,17,34,560245,5
eHh,34,51,215796,4
eHt,-17,0,173628,4
eHt,0,17,982425,8
eHt,17,34,869132,11
eHt,34,51,1279868,7
eHt,51,68,12572,2
eHv,-17,0,884372,6
eHv,-34,-17,1461745,10
eHv,-51,-34,705087,7
eHv,0,17,1287005,6
eHv,17,34,329214,6
eHv,34,51,369014,1
eNh,-17,0,2223010,23
eNh,-34,-17,3525887,44
eNh,-51,-34,2674197,31
eNh,-68,-51,2676227,23
eNh,-85,-68,1278412,8
eNh,0,17,909060,17
eNh,17,34,865346,13
eNh,34,51,37258,2
eNhm,-34,-17,550247,10
eNhm,-51,-34,741486,4
eNhm,-68,-51,666060,1
HNb,-34,-17,62090,1
HNb,-51,-34,386728,2
HNb,-68,-51,162020,1
HNhu,-17,0,106063,3
HNhu,-34,-17,36096,4
HNhu,-51,-34,355400,3
HNhu,0,17,395538,2
HNt,-17,0,545732,5
HNt,-34,-17,12660,2
HNt,-51,-34,41705,4
HNt,0,17,843152,15
HNt,17,34,473113,19
HNt,34,51,583524,13
HNt,51,68,16069,1
Hp,-68,-51,358249,4
Hp,-85,-68,1549161,7
Hpe,,,320771,2
Hpe,-85,-68,134113,6
Hpu,,,74619,1
Ht,-17,0,504389,8
Ht,-34,-17,11049,1
Ht,0,17,233356,11
Hto,-17,0,89590,3
Hto,0,17,288434,6
Hto,17,34,633067,2
Hto,34,51,100813,1
Htu,-17,0,499557,14
Htu,0,17,107210,5
Hve,-17,0,16581,1
Hve,-34,-17,78636,1
Hve,-51,-34,9792,1
Hve,0,17,32196,3
Hve,17,34,199894,5
lAa,-17,0,144713,1
lAa,0,17,70590,2
lAa,17,34,19631,1
lApc,,,750946,1
lApc,-85,-68,24866,1
lApd,,,577930,5
lAv,-17,0,106705,1
lAv,0,17,1175612,6
lAv,17,34,1264398,9
lAv,34,51,399337,5
lAvf,-17,0,81557,4
lAvf,0,17,141951,5
lAvf,17,34,35340,2
lHb,-34,-17,33264,1
lHb,-51,-34,870857,1
lHb,-68,-51,699,1
lHl,,,4158537,4
lHl,0,17,476785,1
lHl,17,34,1650332,2
lHl,34,51,3577897,7
lHl,51,68,8836490,4
lHt,-17,0,127305,8
lHt,0,17,545945,9
lHt,17,34,788563,9
lHt,34,51,385217,10
lHt,51,68,274645,4
lHv,-17,0,800435,4
lHv,-34,-17,944027,5
lHv,-51,-34,27974,3
lHv,0,17,136965,5
lHv,17,34,79119,3
lHv,34,51,55222,1
lHvf,-17,0,96604,1
lHvf,0,17,10434,2
lHvf,17,34,180621,5
lHvf,34,51,101595,2
lNh,-17,0,1177931,58
lNh,-34,-17,1930700,92
lNh,-51,-34,2002863,96
lNh,-68,-51,1339510,61
lNh,-85,-68,391979,10
lNh,0,17,315431,23
lNh,17,34,450696,17
lNh,34,51,473142,5
lNh,51,68,2612,1
lNv,-17,0,116548,2
lNv,-34,-17,288927,3
lNv,-51,-34,286881,5
lNv,-68,-51,1541732,1
lNv,-85,-68,266221,1
mAl,,,1258404,4
mAl,17,34,5277,2
mAl,34,51,949784,11
mAl,51,68,1452083,19
mNh,-17,0,5743546,21
mNh,-34,-17,5109700,37
mNh,-51,-34,4990739,39
mNh,-68,-51,4595318,20
mNh,-85,-68,1367389,10
mNh,0,17,3636274,13
mNh,17,34,2952506,10
mNh,34,51,1885979,3
mNh,51,68,72658,1
mNhm,-17,0,197851,6
mNhm,-51,-34,889481,1
mNhm,-68,-51,453715,1
mNhm,0,17,233147,10
mNhm,17,34,47379,3
Nhe,-17,0,5051,1
Nhe,-34,-17,49361,7
Nhe,-51,-34,141799,15
Nhe,-68,-51,6862,1
Nhe,-85,-68,11186,2
Nhu,-17,0,412545,11
Nhu,-34,-17,233740,2
Nhu,-51,-34,40959,1
Nhu,-68,-51,4891,1
Nhu,-85,-68,2118,1
Nhu,0,17,219867,4
Nhu,17,34,465084,2
Nve,-17,0,21880,1
Nve,-34,-17,88827,5
Nve,-68,-51,89438,2